id;name;acronym;state
47;CENTRO UNIVERSITÁRIO DE FRANCA;UNI-FACEF;SP
48;ESCOLA DE ENGENHARIA DE PIRACICABA;EEP/FUMEP;SP
49;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS;FAFIPE;SP
50;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;RN
51;FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL;FAMASUL;PE
52;CENTRO DE ENSINO SUPERIOR DE ARCOVERDE;CESA;PE
53;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO;FFCL;SP
54;FACULDADE ESTADUAL DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARANAVAÍ;FAFIPA;PR
55;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;SC
56;FACULDADE DA REGIÃO DOS LAGOS;FERLAGOS;RJ
57;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE;FAFIA;ES
58;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA;IMES CATANDUVA;SP
59;CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ;UNIDAVI;SC
60;UNIVERSIDADE DA REGIÃO DE JOINVILLE;UNIVILLE;SC
61;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;SC
62;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;SC
63;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;FAFIMA;RJ
64;CENTRO UNIVERSITÁRIO DE BRUSQUE;UNIFEBE;SC
65;FACULDADE DE FORMAÇÃO DE PROFESSORES DE PENEDO;FFPP;AL
66;FACULDADE DE MEDICINA DE JUNDIAÍ;FMJ;SP
67;ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ;ESEFJ;SP
68;UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ;UVA;CE
69;FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE;FDCL;MG
70;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;UFSJ;MG
71;FACULDADES INTEGRADAS RUI BARBOSA;FIRB;SP
72;CENTRO UNIVERSITÁRIO DE ARARAQUARA;UNIARA;SP
73;CENTRO UNIVERSITÁRIO DE ARARAS -;UNAR;SP
74;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;MG
75;FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA;FAEFI;SP
76;CENTRO UNIVERSITÁRIO CLARETIANO;CEUCLAR;SP
77;UNIVERSIDADE DO SAGRADO CORAÇÃO;USC;SP
78;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;CBM;SP
79;FACULDADE DE CIÊNCIAS ECONÔMICAS DO TRIÂNGULO MINEIRO;FCETM;MG
80;UNIVERSIDADE SEVERINO SOMBRA;USS;RJ
81;FACULDADE DE DIREITO DE VARGINHA - FADIVA;FADIVA;MG
82;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;UNITRI;MG
83;UNIVERSIDADE DE UBERABA;UNIUBE;MG
84;FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA;FACHO;PE
85;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS;FCHS;RJ
86;CENTRO UNIVERSITÁRIO DE RIO PRETO;UNIRP;SP
87;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;FAMERP;SP
88;UNIVERSIDADE DE SOROCABA;UNISO;SP
89;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO;FGV-EAESP;SP
90;FACULDADE DE CIÊNCIAS CONTÁBEIS;FACIC;BA
91;CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO;CBM/CEU;RJ
92;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU;FAFICA;PE
93;FACULDADE FRASSINETTI DO RECIFE;FAFIRE;PE
94;CENTRO UNIVERSITÁRIO ASSUNÇÃO;UNIFAI;SP
95;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO;FEBASP;SP
96;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;RJ
97;FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO;;MG
98;UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;SP
99;FACULDADES DA FUNDAÇÃO DE ENSINO DE MOCOCA;FAFEM;SP
100;FACULDADE DE DIREITO DO SUL DE MINAS;FDSM;MG
101;UNIVERSIDADE CASTELO BRANCO;UCB;RJ
102;ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES;EMSM;RJ
103;FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS;FCCAE;RJ
104;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES;FFCLSM;RJ
105;FACULDADE DE ENGENHARIA SOUZA MARQUES;FESM;RJ
106;ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES;EEFTESM;RJ
107;FACULDADE MORAES JÚNIOR - MACKENZIE RIO;FMJ - MACKENZIE RIO;RJ
108;FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ;FESPRR;PR
109;CENTRO UNIVERSITÁRIO DA CIDADE;UNIVERCIDADE;RJ
110;FACULDADE CÁSPER LÍBERO;FCL;SP
111;FACULDADE BRASILEIRA DE CIÊNCIAS JURÍDICAS;FBCJ;RJ
112;FACULDADE DE ECONOMIA E FINANÇAS DO RIO DE JANEIRO;FEFRJ;RJ
113;UNIVERSIDADE SÃO JUDAS TADEU;USJT;SP
114;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;UNIÍTALO;SP
115;CENTRO UNIVERSITÁRIO MOURA LACERDA;CUML;SP
116;UNIVERSIDADE DE RIBEIRÃO PRETO;UNAERP;SP
117;CENTRO UNIVERSITÁRIO FECAP;FECAP;SP
118;FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG;FEAMIG;MG
119;UNIVERSIDADE DO GRANDE ABC;UNIABC;SP
120;CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX;IMIH;MG
121;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE;UNIFAE;SP
122;FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL;FAECA DOM BOSCO;SP
123;FACULDADE SÃO JUDAS TADEU;FSJT;RJ
124;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;SP
125;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;UNIFEV;SP
126;FACULDADE DE MEDICINA DO ABC;FMABC;SP
127;INSTITUTO DE ENSINO SUPERIOR SANTO ANDRÉ;IESA;SP
128;CENTRO UNIVERSITÁRIO LUSÍADA;UNILUS;SP
129;UNIVERSIDADE CATÓLICA DE SANTOS;UNISANTOS;SP
130;FACULDADE DE SÃO BERNARDO DO CAMPO - FASB;FASB I;SP
131;FACULDADES OSWALDO CRUZ;FOC;SP
132;UNIVERSIDADE SANTA ÚRSULA;USU;RJ
133;CENTRO UNIVERSITÁRIO ANHANGUERA;UNIA;SP
134;FACULDADE DO CLUBE NÁUTICO MOGIANO;FCNM;SP
135;CENTRO UNIVERSITÁRIO FIEO;UNIFIEO;SP
136;CENTRO UNIVERSITÁRIO CAPITAL;UNICAPITAL;SP
137;FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA - FEAP;FEAP;SP
138;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE PIRAJU;FAFIP;SP
139;FACULDADES INTEGRADAS CAMPOS SALLES;FICS;SP
140;FACULDADES INTEGRADAS DE OURINHOS;FIO;SP
141;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP;SP
142;FACULDADES INTEGRADAS ESPÍRITO SANTENSES;FAESA I;ES
143;FACULDADE DE DIREITO DA ALTA PAULISTA;FADAP;SP
144;FACULDADE FACCAT;FACCAT;SP
145;UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;SP
146;UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP;SP
147;FACULDADE DE DIREITO DE SOROCABA;FADI;SP
148;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;UNISUAM;RJ
149;FACULDADES INTEGRADAS SIMONSEN;FIS;RJ
150;FACULDADES INTEGRADAS HÉLIO ALONSO;FACHA;RJ
151;FACULDADE DE MEDICINA DE ITAJUBÁ;FMIT;MG
152;FACULDADE DE DIREITO DO VALE DO RIO DOCE;FADIVALE;MG
153;FACULDADE TRÊS DE MAIO;SETREM;RS
154;UNIVERSIDADE DE SANTA CRUZ DO SUL;UNISC;RS
155;UNIVERSIDADE DA REGIÃO DA CAMPANHA;URCAMP;RS
156;UNIVERSIDADE NORTE DO PARANÁ;UNOPAR;PR
157;FACULDADE DE JANDAIA DO SUL;FAFIJAN;PR
158;FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E CONTÁBEIS DE DIVINÓPOLIS;FACED;MG
159;FACULDADE DE MEDICINA DE BARBACENA;FAME;MG
160;UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS;UNIPAC;MG
161;UNIVERSIDADE NOVE DE JULHO;UNINOVE;SP
162;UNIVERSIDADE CAMILO CASTELO BRANCO;UNICASTELO;SP
163;UNIVERSIDADE PAULISTA;UNIP;SP
164;UNIVERSIDADE IGUAÇU;UNIG;RJ
165;FACULDADE MACHADO SOBRINHO;FMS;MG
166;CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA;CES/JF;MG
167;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;MG
168;FACULDADE SANTA EMÍLIA DE RODAT;FASER;PB
169;CENTRO UNIVERSITÁRIO NEWTON PAIVA;NEWTON PAIVA;MG
170;CENTRO UNIVERSITÁRIO UNA;UNA;MG
171;ESCOLA DE ENGENHARIA KENNEDY;EEK;MG
172;INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA;ISCA;SP
173;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;UNI-BH;MG
174;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS;FCMMG;MG
175;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;UNIPÊ;PB
176;FACULDADE EVANGÉLICA DO PARANÁ;FEPAR;PR
177;UNIVERSIDADE TUIUTI DO PARANÁ;UTP;PR
178;CENTRO UNIVERSITÁRIO PAULISTANO;UNIPAULISTANA;SP
179;FACULDADE PAULISTA DE SERVIÇO SOCIAL DE SÃO CAETANO DO SUL;FAPSS-SCS;SP
180;FACULDADE PAULISTA DE SERVIÇO SOCIAL;FAPSS-SP.;SP
181;FACULDADE MOZARTEUM DE SÃO PAULO;FAMOSP;SP
182;FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA;FACE;MG
183;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES;MG
184;FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA;FEFISO;SP
185;FACULDADE PAULISTA DE ARTES;FPA;SP
186;FACULDADE DE MÚSICA CARLOS GOMES;FMCG;SP
187;FACULDADE DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO;FABCI;SP
188;ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO;ESP;SP
189;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;SP
190;UNIVERSIDADE DE SANTO AMARO;UNISA;SP
191;UNIVERSIDADE DA AMAZÔNIA;UNAMA;PA
192;CENTRO UNIVERSITÁRIO DE ANÁPOLIS;UNIEVANGÉLICA;GO
193;UNIVERSIDADE SALVADOR;UNIFACS;BA
194;CENTRO UNIVERSITÁRIO DE GOIÁS;UNI-ANHANGÜERA;GO
195;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;MS
196;FACULDADE DE CIÊNCIAS CONTÁBEIS DE LUCÉLIA;CEALPA;SP
197;FACULDADE RUY BARBOSA;FRBA;BA
198;UNIVERSIDADE TIRADENTES;UNIT;SE
199;ESCOLA DE ENGENHARIA DE AGRIMENSURA;EEA;BA
200;CENTRO UNIVERSITÁRIO DE BRASÍLIA;UNICEUB;DF
201;FACULDADES INTEGRADAS DA UPIS;UPIS;DF
202;FOCCA - FACULDADE DE OLINDA;FOCCA;PE
203;ESCOLA SUPERIOR DE RELAÇÕES PÚBLICAS;ESURP;PE
204;UNIVERSIDADE DE PERNAMBUCO;UPE;PE
205;FACULDADE DE CIÊNCIAS HUMANAS ESUDA;FCHE;PE
206;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO;FCMSCSP;SP
207;FACULDADE DE SÃO PAULO;FATEMA;SP
208;UNIVERSIDADE DE MARÍLIA;UNIMAR;SP
209;FACULDADE ESTADUAL DE CIÊNCIAS E LETRAS DE CAMPO MOURÃO;FECILCAM;PR
210;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;URI;RS
211;CENTRO UNIVERSITÁRIO FRANCISCANO;UNIFRA;RS
212;CENTRO UNIVERSITÁRIO FILADÉLFIA;UNIFIL;PR
213;FACULDADE DE MEDICINA DE MARÍLIA;FAMEMA;SP
214;FACULDADE PARANAENSE;FACCAR;PR
215;FACULDADE SANTA MARCELINA;FASM;SP
216;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SANTA MARCELINA;FAFISM;MG
217;UNIVERSIDADE PARANAENSE;UNIPAR;PR
218;FACULDADE DOUTOR FRANCISCO MAEDA;FAFRAM;SP
219;FACULDADE DE DIREITO DE ITÚ;FADITU;SP
220;UNIVERSIDADE DO CONTESTADO;UNC;SC
221;UNIVERSIDADE DE CRUZ ALTA;UNICRUZ;RS
222;CENTRO UNIVERSITÁRIO RITTER DOS REIS;UNIRITTER;RS
223;UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;RS
224;CENTRO UNIVERSITÁRIO LUTERANO DE JI-PARANÁ;CEULJI/ULBRA;RO
225;CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM;CEULS;PA
226;CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS;CEULM/ULBRA;AM
227;CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS;CEULP;TO
228;FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS;FACCCA;RS
229;FACULDADE DE FORMAÇÃO DE PROFESSORES E ESPECIALISTAS DE EDUCAÇÃO;FAFOPEE;RS
230;CENTRO UNIVERSITÁRIO SANT´ANNA;UNISANT'ANNA;SP
231;UNIVERSIDADE BANDEIRANTE DE SÃO PAULO;UNIBAN;SP
232;UNIVERSIDADE IBIRAPUERA;UNIB;SP
233;FACULDADE DE ARTES PLÁSTICAS DA FUNDAÇÃO ARMANDO ALVARES PENTEADO;FAAP;SP
234;FACULDADE DE ADMINISTRAÇÃO DA FUNDAÇÃO ARMANDO ALVARES PENTEADO;FAE-FAAP;SP
235;FACULDADE DE ENGENHARIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO;FEFAAP;SP
236;FACULDADE DE COMUNICAÇÃO E MARKETING DA - FUNDAÇÃO ARMANDO ÁLVARES PENTEADO;FACOM-FAAP;SP
237;FACULDADE DE ECONOMIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO;FEC-FAAP;SP
238;FACULDADE DE COMPUTAÇÃO E INFORMÁTICA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO;FCI-FAAP;SP
239;UNIVERSIDADE ANHEMBI MORUMBI;UAM;SP
240;FACULDADE DE CIÊNCIAS CONTÁBEIS DE ITAPETININGA;FCCI;SP
241;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE ITAPETININGA;FFCLI;SP
242;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY;UNIGRANRIO;RJ
243;FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO;FCEACDB;RJ
244;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO;FFCLDB;RJ
245;FACULDADE DE MEDICINA DE PETRÓPOLIS;FMP;RJ
246;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS;UNIFESO;RJ
247;UNIVERSIDADE GUARULHOS;UNG;SP
248;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;SC
249;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;UNIMESP;SP
250;CENTRO UNIVERSITÁRIO DE VOLTA REDONDA;UNIFOA;RJ
251;CENTRO DE ENSINO SUPERIOR DE VALENÇA;CESVA;RJ
252;FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DON DOMÊNICO;FECLE;SP
253;FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ;FACEAG;SP
254;FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ;FACEG;SP
255;UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;SC
256;FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA;FESB;SP
257;UNIVERSIDADE DE FRANCA;UNIFRAN;SP
258;ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA;EMESCAM;ES
259;CENTRO UNIVERSITÁRIO MONTE SERRAT;UNIMONTE;SP
260;FACULDADE DE MEDICINA DE CAMPOS;FMC;RJ
261;FACULDADE TRIÂNGULO MINEIRO;FTM;MG
262;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM;FACESM;MG
263;FACULDADES INTEGRADAS DE CRUZEIRO;FIC;SP
264;ESCOLA DE ENFERMAGEM WENCESLAU BRAZ;EEWB;MG
265;UNIVERSIDADE VALE DO RIO DOCE;UNIVALE;MG
266;CENTRO UNIVERSITÁRIO DE BARRA MANSA;UBM;RJ
267;CENTRO UNIVERSITÁRIO PLÍNIO LEITE;UNIPLI;RJ
268;CENTRO UNIVERSITÁRIO MOACYR SREDER BASTOS;UNIMSB;RJ
269;FACULDADE DE EDUCAÇÃO SÃO LUÍS;FESL;SP
270;CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL;UDF;DF
271;UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;BA
272;UNIVERSIDADE DE MOGI DAS CRUZES;UMC;SP
273;CENTRO UNIVERSITÁRIO CELSO LISBOA;UCL;RJ
274;UNIVERSIDADE BRAZ CUBAS;UBC;SP
275;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC GOIÁS;GO
276;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ
277;FACULDADE DE MÚSICA DO ESPÍRITO SANTO;FAMES;ES
278;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;UNIJUI;RS
279;FACULDADES INTEGRADAS DE ITAPETININGA;FII;SP
280;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;EBMSP;BA
281;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MANDAGUARI;FAFIMAN;PR
282;FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO;FAC-FITO;SP
283;FACULDADE DE CIÊNCIAS HUMANAS DE ITABIRA;FACHI;MG
284;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA;FACCI;MG
285;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;PUCSP;SP
286;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;RJ
287;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;MA
288;UNIVERSIDADE FEDERAL DO ACRE;UFAC;AC
289;UNIVERSIDADE ESTADUAL DA PARAÍBA;UEPB;PB
290;UNIVERSIDADE DE FORTALEZA;UNIFOR;CE
291;CONSERVATÓRIO DE MÚSICA DE NITERÓI;CMN;RJ
292;ESCOLA DE MÚSICA E BELAS ARTES DO PARANÁ;EMBAP;PR
293;FACULDADE DE ARTES DO PARANÁ;FAP;PR
294;UNIVERSIDADE ESTADUAL DO MARANHÃO;UEMA;MA
295;UNIVERSIDADE FEDERAL DO PARÁ;UFPA;PA
296;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;RN
297;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;PR
298;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ
299;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;ES
300;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;RJ
301;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG
302;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;MG
303;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;AL
304;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;BA
305;UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB;PB
306;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;PE
307;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;RS
308;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;RS
309;UNIVERSIDADE FEDERAL DO CEARÁ;UFC;CE
310;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO
311;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;SC
312;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ
313;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;PE
314;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;PR
315;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;UFERSA;RN
316;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;UFRA;PA
317;UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;SP
318;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;MG
319;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;RJ
320;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET/MG;MG
321;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;MG
322;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;UFVJM;MG
323;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;UFTM;MG
324;UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI;UNIFEI;MG
325;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;BA
326;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;MA
327;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;IFRS;RS
328;INSTITUTO TECNOLÓGICO DE AERONÁUTICA;ITA;SP
329;UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL;USCS;SP
330;FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM;FDCI;ES
331;FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM;FACCACI;ES
